Start,Finish,Name of conflict,Belligerents,,
1838,1838,Battle of Blood River,Voortrekkers,Zulu kingdom,
1838,1838,Mormon War,Non-Mormon Missourians,"Latter Day Saint
movement",
1838,1839,Balaiada,Empire of Brazil,"Balaios
African slaves",
1838,1839,Pastry War,France,Mexico,
1839,1839,Newport Rising,British Empire,Chartists,
1839,1839,Züriputsch,Zürich,Conservative Putschists,
1839,1841,"Egyptian–Ottoman War
(1839–41)","British Empire
Austrian Empire
Russian Empire
Kingdom of Prussia
Ottoman Empire","Egypt
France
Spain",
1839,1840,Khivan campaign of 1839,Khanate of Khiva,Russian Empire,
1839,1841,War of the Supremes,,,
1838,1842,First Anglo-Afghan War,Emirate of Afghanistan,"British Empire
British East India
Company",
1839,1842,First Opium War,British Empire,Qing Empire of China,
1839,1847,Albanian Revolt of 1847,Ottoman Empire,Albanian rebels,
1839,1851,Uruguayan Civil War,"Colorados
Argentine Unitarians
France
Riograndense
Republic
British Empire
Empire of Brazil
Italian Legion","Blancos
Federalists
Argentine
Confederation",
1840,1841,Cambodian rebellion (1840),"Khmer anti-Vietnamese
rebels
Support:
Rattanakosin Kingdom
(Siam)",Nguyễn dynasty (Vietnam),
1830s,1860s,Eumerella Wars,British Empire,Gunditjmara people,
Start,Finish,Name of conflict,Belligerents,,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",
1841,1841,Niš Rebellion (1841),Ottoman Empire,Christian rebels,
1841,1841,1841 rebellion in Guria,Russian Empire,Guria Peasants,
1841,1845,"Siamese–Vietnamese War
(1841–45)","Vietnam
Cambodia protectorates loyal
to King Ang Duong",,
1841,1842,Sino-Sikh War,China,Sikh Empire,
1842,1847,Kurdish revolt of 1842–1847[8],Ottoman Empire,Emirate of Botan,
1842,1842,Shoorcha rebellion,Russian Empire,"Chuvash Peasants
Tatar Peasants
Mari Peasants",
1842,1868,Russian Conquest of Bukhara,Russian Empire,Emirate of Bukhara,
1842,1843,Mier expedition,Mexico,Texas,
1843,1844,"Peruvian civil war of 1843–
1844",Revolutionaries,Peruvian government,
1843,1844,Albanian Revolt of 1843–44,Ottoman Empire,Albanian rebels,
1843,1843,"Wairau Affray
Part of the New Zealand Wars",Ngāti Toa,British Settlers,
1843,1843,Battle of One Tree Hill,British Settlers,Jagera people,
1844,1856,"Dominican War of
Independence",Dominican Republic,Haiti,
1844,1844,Franco-Moroccan War,France,Morocco,
1844,1847,Franco-Tahitian War,"France
Tahitian allies","Tahiti
Huahine
Raiatea
Bora Bora and Tahaa",
1844,1845,Malespín's War,"El Salvador
Honduras",Nicaragua,
1845,1845,Albanian Revolt of 1845,Ottoman Empire,Albanian rebels,
1845,1846,First Anglo-Sikh War,"British East India
Company",Sikh Empire,
1845,1846,"Flagstaff War
Northern War
Part of the New Zealand Wars",Ngāpuhi Iwi,"British Empire
Forces of Tamati
Waka Nene",
1846,1847,,Venezuela,Federal rebels,
1846,1846,Revolution of Maria da Fonte,Portuguese Empire,Tax Resisters,
1846,1846,"Hutt Valley Campaign
Part of the New Zealand Wars",British Empire,Ngāti Toa,
,,,"British Settlers
Te Āti Awa",,
1846,1846,Kraków uprising,Austrian Empire,"Polish independence
movement",
1846,1846,Galician slaughter,Austrian Empire,Polish peasants,
1846,1846,"Dutch intervention in Northern
Bali (1846)",Netherlands,Bali,
1846,1846,Revolt of the Faitiões,Portuguese Empire,Faitiões,
1846,1847,Patuleia,Cartistas,"Septembrists
Miguelists",
1846,1847,Seventh Xhosa War,British Empire,Xhosa Tribes,
1846,1849,"Second Carlist War
War of the Madrugadores","Forces of Queen Isabella
II of Spain",Carlists,
1846,1848,Mexican–American War,United States,Mexico,
1846,1848,"Wanganui Campaign
Part of the New Zealand Wars","British Empire
British Settlers
Māori Kupapa",Māori Iwis,
1847,1847,Sonderbund War,Swiss Confederation,Sonderbund,
1847,1850,Sierra Gorda Rebellion,Mexico,Tax Resisters,
1847,1855,Cayuse War,United States,Cayuse,
1847,1933,Caste War of Yucatán,Mexico,Maya Free State,
1847,1847,"Operations against the Baizai
(1847)[10]",British Empire,Baizai Tribesmen,
1848,1849,"Venezuelan Civil War of
1848–1849",State of Venezuela,Rebels,
1848,1849,"Revolutions of 1848 in the
Italian states","Austrian Empire
Kingdom of Two Sicilies
Papal States","Kingdom of Sicily
Provisional Government
of Milan
Republic of San Marco
Roman Republic
Central Italy Rebels
Supported by:
Kingdom of Sardinia",
1848,1848,"Greater Poland Uprising
(1848)",Kingdom of Prussia,Polish rebels,
1848,1848,French Revolution of 1848,French Republic,July Monarchy,
1848,1849,"Revolutions of 1848 in the
German states","German Confederation
Austrian Empire
Baden
Prussia
Kingdom of Saxony
Kingdom of Bavaria",German Rebels,
1848,1849,"Baden Revolution
Part of the Revolutions of",Baden,Freischar,
,,1848 in the German states,,,
1848,1849,"Revolutions of 1848 in the
Habsburg areas",,,
1848,1848,"Wallachian Revolution of
1848","Ottoman Empire
Russian Empire",Wallachia,
1848,1849,"Sicilian revolution of
independence of 1848","Kingdom of the Two
Sicilies
Supported by:
Kingdom of Spain","Kingdom of Sicily
Supported by:
Congress Poland",
1848,1848,"Dutch intervention in Northern
Bali (1848)",Netherlands,Bali,
1848,1848,Matale rebellion,British Empire,Kandian Peasants,
1848,1849,"First Italian War of
Independence",Austrian Empire,"Kingdom of Sardinia
Grand Duchy of
Tuscany
Papal States
Kingdom of the Two
Sicilies",
1848,1849,Second Anglo-Sikh War,"British Empire
British East India
Company",Sikh Empire,
1848,1849,"Hungarian War of
Independence","Austrian Empire
Russian Empire",Hungary,
1848,1849,Serb Uprising of 1848–49,"Serbs (Austrian Empire)
Serbian volunteers
Austrian Empire",Hungary,
1848,1849,Praieira revolt,Empire of Brazil,Praieiros,
1848,1849,Slovak Uprising of 1848–49,Slovak National Council,Kingdom of Hungary,
1848,1851,"First Schleswig War
The Three Years' War",Denmark,"Schleswig-Holstein
Prussia
Kingdom of Saxony",
1849,1850,"Dutch intervention in Bali
(1849)","Netherlands
Lombok","Buleleng
Jembrana
Klungkung",
1849,1849,"May Uprising in Dresden
Part of the Revolutions of
1848 in the German states","Prussia
Kingdom of Saxony",Freischar,
1849,1849,"Palatine uprising
Part of the Revolutions of
1848 in the German states",Kingdom of Bavaria,Freischar,
,,,,,
1849,1849,"Yemeni Expedition of 1849
Part of the Yemeni–
Ottoman Conflicts",Zaidis,Ottoman Empire,
1849,1855,"Burmese–Siamese War
(1849–55)",Burma,Siam,
1849,1924,Apache Wars,"United States
(1849–1924)
Confederate States of
America
(1861–1865)","Apacheria:
Chiricahua Apache
Jicarilla Apache
Mescalero Apache
Lipan Apache
Western Apache
Plains Apache
Apache Allies:
Ute
Yavapai
Comanche
Cheyenne
Kiowa
Yuma
Mohave",
1849,1849,"Operations against the Baizai
(1849)",British Empire,Baizai Tribesmen,
Start,Finish,Name of conflict,Belligerents,,
,,,Victorious party (if applicable),Defeated party (if applicable),
1850,1856,"Soninke-Marabout
War (1850–1856)","British Empire
French Empire","Marabout confederacy
Kingdom of the Kombo
(Soninke)",
1850,1864,Taiping Rebellion,"China
British Empire
French Empire",Taiping Heavenly Kingdom,
1850,1853,Eighth Xhosa War,British Empire,"Xhosa Tribes
Khoikhoi Tribes
Native Kafir Police",
1851,1851,"1851 Chilean
Revolution",Chile,Liberal rebels,
1851,1851,"Bombardment of
Salé",France,Morocco,
1851,1851,"1851 French coup
d'état","French Second Republic under
Louis-Napoléon Bonaparte",Republicans,
1851,1852,Platine War,"Empire of Brazil
Uruguay
Entre Ríos
Corrientes
Santa Fe","Argentine Confederation
Blancos",
1851,1855,"Palembang
Highlands
Expeditions",Dutch Empire,Palembangese Rebels,
1851,1865,"California Indian
Wars",United States,"Miwok
Yokuts
Cahuilla
Cupeno
Quechan
Yurok
Karuk
Tolowa
Nomlaki
Chimariko
Wintun
Hupa
Tsnungwe
Wiyot
Whilkut
Yuki",
1851,1868,Nian Rebellion,Qing dynasty,Nien militia,
1852,1852,Kautokeino rebellion,Sweden-Norway,Sami rebels,
,,,,,
1852,1852,"Second Anglo-
Burmese War",British Empire,Burma,
1852,1853,"Montenegrin–
Ottoman War (1852–
53)",Montenegro,Ottoman Empire,
1852,1862,"Herzegovina Uprising
(1852–62)",Ottoman Empire,Serbian rebels,
1853,1854,,State of Venezuela,Rebels,
1853,1856,Crimean War,"Ottoman Empire
French Empire
(from 1854)
Britain
(from 1854)
Kingdom of Sardinia
(from 1855)
Caucasian Imamate (until 1855)
Circassia
Abkhazian insurgents (from
1855)
Egypt Eyalet
Beylik of Tunis[11]","Russian Empire
Bulgarian volunteers
Principality of Mingrelia
(vassal)
Kurdish rebels[12]
Kingdom of Greece (until
1854)",
1854,1854,"1854 Macedonian
rebellion",Ottoman Empire,Macedonian rebels,
1854,1855,"Expedition against
the Chinese in
Montrado",Netherlands,"Pro-Chinese Indonesian rebels
Chinese volunteers
Supported by:
China",
1854,1854,Epirus Revolt of 1854,Ottoman Empire,Greek rebels,
1854,1857,Revolution of Ayutla,Mexican rebels,Santa Anna dictatorship,
1854,1873,"Miao Rebellion
(1854–73)",China,Miao people,
1854,1860,"French conquest of
Senegal",French Empire,"Kingdom of Waalo
Toucouleur Empire",
1854,1856,"Red Turban
Rebellion (1854–56)",Qing Empire of China,Tiandihui,
1854,1861,Bleeding Kansas,Free-Stater (Kansas),Border ruffians,
1855,1855,"Kurdish revolt of
1855[8]","Ottoman Empire
Supported by:
French Empire
British Empire",Kurdish rebels,
1855,1855,First Fiji Expedition,United States,Fiji,
,,,,,
1855,1856,"Nepalese–Tibetan
War",Kingdom of Nepal,Tibet,
1855,1856,Santhal rebellion,"British Raj
Zamindars",Santal rebels,
1855,1858,Yakima War,United States,Yakama,
1855,1855,Rogue River Wars,United States,Rogue River,
1855,1855,Battle of Ash Hollow,United States,Brulé Sioux,
1855,1856,Puget Sound War,United States,"Nisqually
Muckleshoot
Puyallup
Klickitat
Haida
Tlingit",
1855,1858,"Third Seminole War
part of the Seminole
Wars",United States,Seminole Tribes,
1855,1864,Nias Expedition,Dutch Empire,Nias Rebels,
1855,1867,"Punti-Hakka Clan
Wars",Punti,Hakka,
1856,1857,"Peruvian civil war of
1856–1858",,,
1856,1857,Filibuster War,"Allied Central American Army
(Ejército Aliado Centroamericano)
Costa Rica
Honduras
Guatemala
El Salvador
Nicaragua
Legitimistas (conservative party)
Democráticos (liberal party)
United States (naval
support)",Filibusters,
1856,1857,"Khost rebellion
(1856–1857)",Emirate of Afghanistan,Khostwal and Waziri tribesmen,
1856,1857,"Campaign of 1856–
57","Costa Rica
Guatemala
El Salvador
Honduras
Rebel Forces of Patricio
Rivas","Republic of Sonora
Nicaragua",
1856,1856,Battle of Tres Forcas,Morocco,Prussia,
,,,,,
1856,1860,"Second Opium War
Arrow War","United Kingdom
French Empire
United States (1856 and
1859 only)",Qing Empire of China,
1856,1857,Anglo-Persian War,"British Empire
East India Company
Afghanistan",Persia,
1856,1873,"Panthay Rebellion
Du Wenxiu Rebellion",Qing Empire of China,Pingnan Guo,
1856,1857,"1857 Cheyenne
Expedition",United States,Cheyenne,
1857,1858,"Indian Rebellion of
1857
India's First War of
Independence","British Empire
British East India
Company
Nepal
Jammu and Kashmir
20 Princely states","Sepoys of the East India
Company
Mughal Empire
Awadh
Jhansi
Jagdishpur
Kohra
Bijairaghogarh
Tulsipur State
7 Princely states",
1857,1858,Utah War,United States,"State of Deseret
Utah Territory
Nauvoo Legion",
1857,1860,"Ecuadorian–Peruvian
War (1857–1860)",Peru,Ecuador,
1857,1861,Reform War,"Liberals
United States",Conservatives,
1857,1861,Cibaenian Revolution,"Dominican Republic
Liberals Supported by:
Conservatives
Kingdom of Spain","Revolutionary
Government of Cibao",
1857,1863,Pahang Civil War,"Wan Ahmad loyalists
Terengganu Sultanate
Rattanakosin Kingdom","Tun Mutahir loyalists
Johor
United Kingdom",
1858,1858,"March Revolution
(Venezuela)",,,
1858,1858,Mahtra War,Russian Empire,Estonian peasants,
1858,1858,Coeur d'Alene War,United States,"Spokane
Coeur d'Alene",
,,,,"Paloos
Northern Paiute",
1858,1858,Fraser Canyon War,"United States
British Empire",Nlaka'pamux,
1858,1858,Pecija's First Revolt,Ottoman Empire,Serbian peasants,
1858,1862,"Cochinchina
Campaign","French Empire
Kingdom of Spain",Dai Nam,
1859,1859,Indigo revolt,British Empire,Bengali Peasants,
1859,1859,Third Fiji expedition,United States,Fiji,
1859,1859,"Second Italian War of
Independence","French Empire
Kingdom of Sardinia",Austrian Empire,
1859,1859,Revolution of 1859,Chile,Liberal rebels,
1859,1872,Pig War,United States,United Kingdom,
1859,1860,"Hispano-Moroccan
War (1859–60)",Spain,Morocco,
1859,1863,Banjarmasin War,Dutch Empire,Sultanate of Banjar,
1859,1863,Federal War,Venezuelan Federalists,"Venezuelan
Conservatives",
1859,1859,"1859 Perugia
uprising",Papal States,Rebels,
Start,Finish,Name of conflict,Belligerents,,
,,,Victorious party (if applicable),Defeated party (if applicable),
1860,1860,"Expedition of the
Thousand",Kingdom of Italy,"Two Sicilies
Papal States",
1860,1860,"Portugal–Angoche
conflict[13]","Portuguese Empire
Mozambique",Angoche Sultanate,
1860,1860,"1860 Mount Lebanon
civil war","Rural Druze clans
Abu Nakad clan
Imad clan
Abu Harmouch clan
Talhuq clan
Jumblatt clan
Supported by
al-Atrash clan
Harfush clan
Rural Sunni and Shia Muslim
militiamen
Sardiyah tribe","Maronites and allies
Rural Maronite militiamen
Zahalni militiamen
Shihab dynasty",
1860,1860,Paiute War,United States,Paiute tribes,
1860,1861,"First Taranaki War
Second Māori War
Part of New Zealand
Wars","Māori iwi (tribes)
Māori King Movement","Government of New Zealand
British Settlers",
1860,1862,"Colombian Civil War
(1860–62)",Granadine Confederation,Federal State of Cauca,
1860,1890,Barasa–Ubaidat War,Ubaidat Tribe,Barasa Tribe,
1861,1883,"Occupation of
Araucanía",Chile,Araucanía,
1861,1865,American Civil War,United States of America,"Confederate States of
America",
1861,1867,"French intervention
in Mexico
Also known as
Franco-Mexican War","United Mexican States
Supported by :
United States of America
(entered in 1865)","Second French Empire
Second Mexican Empire
Austrian Empire (German
and Hungarian volunteers)
Belgian Foreign Legion
Egyptian Sudanese
Supported by :
Kingdom of Spain (retired in
1862)
United Kingdom (retired in
1862)",
1862,1862,Dakota War of 1862,United States,Dakota Sioux,
,,,,,
1862,1877,"Dungan Revolt
(1862–77)
Muslim Rebellion",Qing Empire of China,Muslims of China,
1863,1863,"Ecuadorian–
Colombian War",United States of Colombia,Ecuador,
1863,1863,"Battle of
Shimonoseki Straits",United States,Chōshū Domain,
1863,1863,"Bombardment of
Kagoshima
Anglo-Satsuma War",British Empire,Satsuma Domain,
1863,1864,"Shimonoseki
Campaign","British Empire
Netherlands
United States
Second French Empire","Choshu Domain
Chofu Domain
Kiheitai Volunteers",
1863,1864,Ambela campaign,British Raj,"Afghan Pashtuns
Yusufzai",
1863,1864,"Invasion of Waikato
Part of New Zealand
Wars","Government of New
Zealand
Māori Kupapa",Māori King Movement,
1863,1864,"Second Anglo-
Ashanti War",Ashanti Empire,British Empire,
1863,1865,"Dominican
Restoration War",Dominican Republic,Spain,
1863,1864,January Uprising,Russian Empire,"Polish-Lithuanian-Ruthenian
Commonwealth",
1863,1865,Colorado War,United States,"Cheyenne
Arapaho",
1863,1866,"Second Taranaki War
Part of New Zealand
Wars",British Empire,Māori of Taranaki,
1864,1864,"Kinmon Incident and
First Chōshū
expedition","Tokugawa Shogunate
Satsuma Domain","Aizu Domain
Choshu Domain
Sonno joi Rebels",
1864,1864,"Second Schleswig
War
Second Danish-
German War","German Confederation
Austrian Empire
Kingdom of Prussia",Denmark,
1864,1864,"Battle of Dybbøl
Part of Second
Schleswig War",Prussia,Denmark,
1864,1864,"Tauranga Campaign
Part of the New
Zealand Wars","Government of New
Zealand
British Settlers
Māori Kupapa",Ngāi Te Rangi Iwi,
,,,,,
1864,1865,Uruguayan War,"Empire of Brazil
Colorados",Uruguay,
1864,1865,Mejba Revolt,Beylik of Tunis,Tax resisters,
1864,1865,"Mito Rebellion
Kanto insurrection
Part of the Japanese
Civil War","Tokugawa Shogunate
Mito Domain","Sonno joi Rebels of Eastern
Japan",
1864,1865,Bhutan War,British Empire,Bhutan,
1864,1865,,Russian Empire,"Khanate of Kokand
Emirate of Bukhara",
1864,1866,Chincha Islands War,"Peru
Chile
Joined in 1866:
Ecuador
Bolivia",Spain,
1864,1868,Snake War,United States,"Shoshone, Bannock, and Paiute
Tribes",
1864,1868,"Pasoemah
Expedition",Dutch Empire,Sumatran Rebels,
1864,1870,Paraguayan War,"Empire of Brazil
Argentina
Uruguay",Paraguay,
1865,1865,"Peruvian civil war of
1865",Revolutionaries,Government of Peru,
1865,1875,Saudi Civil War,Supporters of Saud,Supporters of Rahman,
1865,1872,"Black Hawk War
(1865–72)",United States,"Ute
Paiute
Navajo
Apache",
1865,1865,"Powder River
Expedition (1865)",United States,"Arapaho
Sioux
Cheyenne",
1865,1865,Morant Bay rebellion,British Empire,Jamaican Rebels,
1865,1870,Hualapai War,United States,Hualapai,
1865,1866,Seqiti War,"Basuto Kingdom
British Empire",Orange Free State,
1865,1868,"East Cape War
Part of the New
Zealand Wars","Government of New
Zealand
British Settlers
Māori Kupapa",Hau-Hauist Māori,
1865,1868,"Russo-Bukharan
Wars",Russian Empire,Emirate of Bukhara,
1865,1890,Haw wars,Kingdom of Siam,Haw rebels,
,,,,,
1866,1866,"Second Chōshū
expedition
Summer War",Choshu Domain,"Tokugawa Shogunate
Aizu Domain",
1866,1866,"Austro-Prussian War
Seven Weeks War
German Civil War","Kingdom of Prussia
Kingdom of Italy
Mecklenburg-Schwerin
Oldenburg
County of Anhalt
Duchy of Brunswick
Duchy of Saxe-
Altenburg
Saxe-Coburg and
Gotha
Principality of Waldeck-
Pyrmont
County of
Schwarzburg-
Sondershausen
Principality of Lippe
Bremen
Hamburg
Lübeck","Austrian Empire
Kingdom of Saxony
Kingdom of Bavaria
Grand Duchy of Baden
Kingdom of
Württemberg
Kingdom of Hanover
Grand Duchy of Hesse
Hesse-Kassel
Principality of Reuss
Elder Line
Duchy of Saxe-
Meiningen
County of Schaumburg-
Lippe
Nassau",
1866,1866,"Third Italian War of
Independence
Part of the Austro-
Prussian War",Kingdom of Italy,Austrian Empire,
1866,1868,Red Cloud's War,Lakota Tribe,United States,
1866,1866,Baikal Insurrection,Russian Empire,Sybiracy,
1866,1869,"Cretan Revolt (1866–
69)",Greek rebels,Ottoman Empire,
1866,1866,"French campaign
against Korea (1866)
Byeongin Western
invasion",Joseon dynasty (Korea),Second French Empire,
1866,1867,"1867 Macedonian
rebellion",Ottoman Empire,Greek revolutionaries.,
1867,1867,"Peruvian civil war of
1867",Revolutionaries (Conservatives),Government of Peru (Liberals),
1867,1867,La Genuina,,,
1867,1868,"Blue revolution
(Venezuela)",,,
1867,1867,"Andaman Islands
Expedition",British Empire,Onge rebels,
1867,1875,"Comanche
Campaign",United States,"Comanche
Arapaho
Kiowa
Southern Cheyenne",
,,,,,
1867,1868,Qatari–Bahraini War,Al Thani,Al Khalifa,
1867,1874,"Klang War
Selangor Civil War","Forces of Raja Abdullah of Klang
British Straits
Settlements",Forces of Raja Mahadi,
1868,1874,Six Years' War,Dominican Liberals,Dominican Conservatives,
1868,1868,"Glorious Revolution
(Spain)",Spain (Liberals),Spain (Moderados),
1868,1868,Grito de Lares,Spain,Puerto Rican Rebels,
1868,1869,"Tītokowaru's War
Part of the New
Zealand Wars","Government of New
Zealand
Māori Kupapa",Ngati Ruanui Iwi,
1868,1869,"Boshin War
War of the Year of
the Dragon
Part of the Japanese
Civil War","Imperial Faction:
Forces of the Emperor
of Japan
Satsuma Domain
Choshu Domain
Tosa Domain
Hiroshima Domain
Saga Domain
British Empire","Tokugawa Shogunate
Northern Alliance
Republic of Ezo
Second French Empire",
1868,1868,"British Expedition to
Abyssinia",British Empire,Ethiopian Empire,
1868,1872,"Te Kooti's War
Part of the New
Zealand Wars","Government of New
Zealand
British Settlers
Māori Kupapa",Māori iwi,
1868,1878,"Ten Years' War
Great War",Spain,Cuba,
1869,1869,"Haitian Revolution of
1869",Forces of Nissage Saget,Forces of Sylvain Salnave,
1869,1869,"1869 uprising in
Krivošije",Serbian Rebels,Austria-Hungary,
1869,1869,Red River Rebellion,"Dominion of Canada
Métis Loyalists
British Empire",Métis Forces of Louis Riel,
Start,Finish,Name of conflict,Belligerents,,
,,,"Victorious party (if
applicable)","Defeated party (if
applicable)",
1870,1870,Kirk–Holden war,United States,Ku Klux Klan,
1870,1871,Al-Hasa Expedition[14][15],"Ottoman Empire
Kuwait",Nejd,
1870,1870,Adai rebellion,Russian Empire,Kazakhs of Aday,
1870,1871,Franco-Prussian War,"North German
Confederation
Kingdom of Bavaria
Baden
Kingdom of
Württemberg",Second French Empire,
1870,1872,Revolution of the Lances,Blancos,Colorados,
1870,1900,Sheep Wars,Cattle Ranchers,Sheepmen,
1870,1890,Kalkadoon Wars,British colonists,Kalkadoon people,
1871,1871,French Civil War of 1871,French Republic,Communards,
1871,1871,"United States expedition to
Korea",United States,Joseon dynasty (Korea),
1871,1872,Nukapu Expedition,United Kingdom,Nukapu,
1872,1873,Dembos War (1872–1873)[16],Portugal,rebels,
1872,1872,"Yemeni Expedition of 1872
Part of the Yemeni–
Ottoman Conflicts",Ottoman Empire,Zaidis,
1872,1876,Third Carlist War,"Kingdom of Spain
(Savoy) (to 1873)
First Spanish Republic
(to 1874)
Kingdom of Spain
(Bourbon) (from 1875)",Carlists,
1872,1873,"Modoc War
Lava Beds War",United States,Modoc Tribes,
1873,1873,Khivan campaign of 1873,Russian Empire,Khanate of Khiva,
1873,1904,Aceh War,Dutch East Indies,Aceh Sultanate,
1873,1874,Revolt of the Muckers,Empire of Brazil,Muckers,
1873,1874,Pabna Peasant Uprisings,British Empire,Bengali Peasants,
1873,1874,Third Anglo-Ashanti War,British Empire,Ashanti Empire,
,,,,,
1873,1888,Colfax County War,"Settlers
Jicarilla Apaches",Maxwell Land Grant,
1873,1874,Cantonal Revolution,First Spanish Republic,Spanish Cantons,
1874,1874,Brooks–Baxter War,Republican Party,Liberal Republican Party,
1874,1874,Saga Rebellion,Empire of Japan,"Rebels of former Saga
Domain",
1874,1874,"Japanese invasion of Taiwan
(1874)",Empire of Japan,Qing Empire,
1874,1875,Red River War,United States,"Comanche Tribes
Kiowa Tribes
Southern Cheyenne
Tribes
Arapaho Tribes",
1874,1876,Ethiopian–Egyptian War,Ethiopia,Egypt,
1875,1875,Ganghwa Island incident,Empire of Japan,Joseon dynasty,
1875,1875,Las Cuevas War,Texas Rangers,Mexican Militia,
1875,1876,Perak War,British Empire,Malay rebels,
1875,1876,Mason County War,"Vigilantes
German-American
settlers",Texas Rangers,
1876,1876,Shinpuren Rebellion,Empire of Japan,"Keishintō
Samurai of former the
Kumamoto Domain",
1876,1876,Razlovtsi insurrection,Ottoman Empire,Bulgarian rebels,
1876,1876,April Uprising,Ottoman Empire,Bulgarian rebels,
1876,1876,Akizuki Rebellion,Empire of Japan,"Samurai of former the Akizuki
Domain",
1876,1876,Hagi Rebellion,Empire of Japan,Choshu Domain,
1876,1877,Colombian Civil War of 1876,Colombian Liberals,Colombian Conservatives,
1876,1877,"Great Sioux War of 1876
Black Hills War","United States
Shoshone Tribes
Crow Nation
Pawnee Tribes","Arapaho Tribes
Cheyenne Tribes
Lakota Tribes",
1876,1878,Qing reconquest of Xinjiang,Qing dynasty,Kashgaria,
1876,1878,"Montenegrin–Ottoman War
(1876–78)
Part of the Great Eastern
Crisis",Montenegro,Ottoman Empire,
1877,1890,Angoche Civil War[17],Followers of Farelay,"6 other claimants to the
throne of the Angoche",
,,,,Sultanate,
1877,1877,Nez Perce War,United States,Nez Perce,
1877,1877,Satsuma Rebellion,Empire of Japan,"Samurai of former the
Satsuma Domain, Kumamoto
Domain
Shi-gakkō",
1877,1878,San Elizario Salt War,United States,Mexican-Indians,
1877,1879,Ninth Xhosa War,"British Empire
Mfengu Tribe",Xhosa Gcaleka Tribe,
1877,1878,Russo-Turkish War (1877–78),"Russian Empire
Serbia
Romania
Montenegro
Bulgarian volunteers",Ottoman Empire,
1877,1879,Cheyenne War,United States,Cheyenne,
1877,1893,Kiriji War,"Ibadan
Iwo Kingdom
Igbajo
Offa Kingdom
Modakeke","Ijesha Kingdom
Ekiti Confederacy
Akoko Confederacy
Egba Kingdom
Ijebu Kingdom
Ila Kingdom
Ilorin Emirate
Ife Kingdom",
1878,1878,Bannock War,United States,"Bannock
Northern Shoshone",
1878,1878,"Austro-Hungarian campaign
in Bosnia and Herzegovina in
1878",Austria-Hungary,Bosnia Vilayet,
1878,1878,Kanak Revolt,France,Kanaks,
1878,1878,Lincoln County War,"Ranchers
Regulators","General Store Monopoly
John Kinney Gang
Jesse Evans Gang
Seven Rivers Warriors",
1878,1878,Kumanovo Uprising,Ottoman Empire,Serbian rebels,
1878,1878,Epirus Revolt of 1878,Ottoman Empire,Greek rebels,
1878,1878,"1878 Greek Macedonian
rebellion",Ottoman Empire,Greek rebels,
1878,1879,Kresna–Razlog Uprising,Ottoman Empire,Bulgarian rebels,
1878,1880,Second Anglo-Afghan War,British Empire,Afghanistan,
1878,1885,Conquest of the Desert,Argentina,Araucans,
1878,1888,Nauruan Civil War,King Aweida Loyalists,Anti-Aweida rebels,
,,,"German Empire
(1888)",,
1879,1880,Little War (Cuba),Kingdom of Spain,Cuba,
1879,1879,Jementah Civil War,Johor Sultanate,Muar,
1879,1879,Anglo-Zulu War,"British Empire
Colony of Natal",Zulu Kingdom,
1879,1879,Second Sekhukhune War,British Empire,BaPedi Kingdom,
1879,1883,War of the Pacific,Chile,"Peru
Bolivia",
1879,1879,Sheepeater Indian War,United States,Turakina,
1879,1881,Victorio's War,"United States
Mexico",Apache,
Start,Finish,Name of conflict,Belligerents,,
,,,"Victorious party (if
applicable)",Defeated party (if applicable),
1880,1881,Basuto Gun War,Basotho Tribe,Cape Colony,
1880,1881,Brsjak Revolt,Ottoman Empire,Christian rebels,
1880,1881,"Kurdish revolt of
1880–1881[8]",Ottoman Empire,Kurdish rebels,
1880,1881,First Boer War,South African Republic,British Empire,
1881,1881,"Mapuche uprising of
1881",Chile,Mapuche rebels,
1881,1881,"French occupation of
Tunisia",France,Tunisia,
1881,1899,Mahdist War,"Egypt
British Empire
Italy
Belgium
Ethiopian Empire",Mahdist Sudan,
1882,1882,Anglo-Egyptian War,"British Empire
Egypt",Egyptian rebels under Arabi Pasha,
1882,1898,Mandingo Wars,French Third Republic,Wassoulou Empire,
1882,1892,Pleasant Valley War,"Tewksbury Family
Arizona Rangers",Graham and Blevins Family,
1883,1914,Ekumeku Movement,British Empire,Ekumeku Organization,
1883,1883,Timok Rebellion,Kingdom of Serbia,People's Radical Party,
1883,1885,"First Madagascar
expedition",French Third Republic,Merina Kingdom,
1883,1886,Tonkin Campaign,French Third Republic,"Qing dynasty
Black Flag Army
Nguyen dynasty",
1884,1885,"Peruvian civil war of
1884–1885","Reds
Bolivia","Blues
Chile",
1884,1884,Chichibu Incident,Empire of Japan,Japanese peasants,
1884,1885,Sino-French War,"France
Annam Protectorate","Qing dynasty of China
Remnants of the Nguyen dynasty of
Vietnam
Black Flag Army",
,,,,,
1884,1885,Mandor Rebellion,Dutch Empire,Lanfang Republic,
1885,1885,,Russian Empire,Tajik Rebels,
1885,1885,North-West Rebellion,Canada,"Provisional Government of
Saskatchewan
Cree–Assiniboine",
1885,1885,Serbo-Bulgarian War,Bulgaria,Serbia,
1885,1885,"Barrios' War of
Reunification","El Salvador
Mexico
Costa Rica
Nicaragua","Guatemala
Honduras",
1885,1885,"Third Anglo-Burmese
War",British Empire,Third Burmese Empire,
